Time (s),SEF,HTR,BW0,BW1,MET,MAP,PAR,GAR,GF1,GF2,EXT,Pres (hPa),dP (hPa/line),Temp (C),Batt (V),Cap (V),GPS Flag (HEX),GPS SV,Lon,Lat,Alt (m),Date,Time,gSpeed (m/s),aRate (m/s),aFilt (m/s),heading (deg)
185,,,,,,,,,,,,1005.18,-0.30,28.7,3.31,3.34,1,9,-77.75669,39.32363,120.42,20220731,12:41:40,0.06,0.10,0.05,0,
186,,,,,,,,,,,,1005.20,-0.29,28.7,3.31,3.34,1,9,-77.75669,39.32363,120.50,20220731,12:41:41,0.03,-0.03,0.05,0,
187,,,,,,,,,,,,1005.16,-0.29,28.7,3.31,3.34,1,9,-77.75668,39.32363,120.78,20220731,12:41:42,0.02,0.01,0.04,0,
188,,,,,,,,,,,,1005.19,-0.28,28.7,3.31,3.34,1,9,-77.75668,39.32363,120.76,20220731,12:41:43,0.04,-0.06,0.04,0,
189,,,,,,,,,,,,1005.10,-0.27,28.7,3.31,3.34,1,9,-77.75668,39.32362,120.83,20220731,12:41:44,0.02,-0.03,0.04,0,
190,,,,,,,,,,,,1005.13,-0.26,28.7,3.31,3.34,1,9,-77.75668,39.32362,120.87,20220731,12:41:45,0.05,-0.06,0.04,0,
191,,,,,,,,,,,,1005.20,-0.25,28.7,3.31,3.35,1,9,-77.75668,39.32362,121.02,20220731,12:41:46,0.17,0.26,0.04,0,
192,,,,,,,,,,,,1005.11,-0.25,28.7,3.31,3.35,1,9,-77.75668,39.32362,121.43,20220731,12:41:47,0.12,0.34,0.05,0,
193,,,,,,,,,,,,1005.16,-0.24,28.7,3.31,3.35,1,9,-77.75668,39.32362,121.56,20220731,12:41:48,0.06,0.15,0.05,0,
194,,,,,,,,,,,,1005.17,-0.23,28.7,3.31,3.35,1,9,-77.75669,39.32362,121.51,20220731,12:41:49,0.04,-0.03,0.05,0,
195,,,,,,,,,,,,1005.15,-0.22,28.7,3.31,3.35,1,9,-77.75669,39.32362,121.49,20220731,12:41:50,0.04,-0.03,0.05,0,
196,,,,,,,,,,,,1005.16,-0.22,28.7,3.31,3.35,1,9,-77.75669,39.32362,121.44,20220731,12:41:51,0.03,-0.03,0.05,0,
197,,,,,,,,,,,,1005.18,-0.21,28.7,3.31,3.35,1,9,-77.75669,39.32362,121.45,20220731,12:41:52,0.07,-0.04,0.04,0,
198,,,,,,,,,,,,1005.18,-0.20,28.7,3.31,3.35,1,9,-77.75669,39.32362,121.37,20220731,12:41:53,0.02,0.04,0.04,0,
